Stn,year,month,day,time(GMT),Rrs_349.3,Rrs_352.6,Rrs_356,Rrs_359.3,Rrs_362.6,Rrs_366,Rrs_369.3,Rrs_372.6,Rrs_376,Rrs_379.3,Rrs_382.6,Rrs_386,Rrs_389.3,Rrs_392.6,Rrs_396,Rrs_399.3,Rrs_402.7,Rrs_406,Rrs_409.4,Rrs_412.7,Rrs_416,Rrs_419.4,Rrs_422.7,Rrs_426.1,Rrs_429.4,Rrs_432.7,Rrs_436.1,Rrs_439.4,Rrs_442.8,Rrs_446.1,Rrs_449.5,Rrs_452.8,Rrs_456.1,Rrs_459.5,Rrs_462.8,Rrs_466.2,Rrs_469.5,Rrs_472.9,Rrs_476.2,Rrs_479.6,Rrs_482.9,Rrs_486.3,Rrs_489.6,Rrs_493,Rrs_496.3,Rrs_499.6,Rrs_503,Rrs_506.4,Rrs_509.7,Rrs_513,Rrs_516.4,Rrs_519.7,Rrs_523.1,Rrs_526.4,Rrs_529.8,Rrs_533.1,Rrs_536.5,Rrs_539.8,Rrs_543.2,Rrs_546.5,Rrs_549.9,Rrs_553.2,Rrs_556.6,Rrs_559.9,Rrs_563.3,Rrs_566.6,Rrs_570,Rrs_573.3,Rrs_576.7,Rrs_580,Rrs_583.4,Rrs_586.7,Rrs_590.1,Rrs_593.4,Rrs_596.8,Rrs_600.1,Rrs_603.5,Rrs_606.8,Rrs_610.1,Rrs_613.5,Rrs_616.8,Rrs_620.2,Rrs_623.5,Rrs_626.9,Rrs_630.2,Rrs_633.6,Rrs_636.9,Rrs_640.3,Rrs_643.6,Rrs_646.9,Rrs_650.3,Rrs_653.6,Rrs_657,Rrs_660.3,Rrs_663.7,Rrs_667,Rrs_670.3,Rrs_673.7,Rrs_677,Rrs_680.4,Rrs_683.7,Rrs_687,Rrs_690.4,Rrs_693.7,Rrs_697.1,Rrs_700.4,Rrs_703.7,Rrs_707.1,Rrs_710.4,Rrs_713.7,Rrs_717.1,Rrs_720.4,Rrs_723.7,Rrs_727.1,Rrs_730.4,Rrs_733.7,Rrs_737.1,Rrs_740.4,Rrs_743.7,Rrs_747.1,Rrs_750.4,Rrs_753.7,Rrs_757,Rrs_760.4,Rrs_763.7,Rrs_767,Rrs_770.4,Rrs_773.7,Rrs_777,Rrs_780.3,Rrs_783.6,Rrs_787,Rrs_790.3,Rrs_793.6,Rrs_796.9,Rrs_800.2,Rrs_803.5
HOCRSt04p1,2022,3,30,2:07:43,0.003829299,0.003979408,0.00409549,0.004063173,0.004370715,0.004451624,0.004460288,0.004604495,0.004669225,0.004775223,0.004970794,0.004963496,0.005160414,0.00516766,0.005161857,0.005220539,0.005249432,0.005228924,0.005192784,0.005220652,0.00519657,0.005192318,0.005225177,0.005142502,0.005060786,0.005019996,0.004952798,0.0048833,0.004811079,0.004729477,0.00467778,0.004634413,0.004625495,0.004667825,0.00467477,0.004689275,0.004669561,0.0046365,0.004604097,0.004564456,0.004473919,0.00437698,0.004233622,0.004109097,0.00393355,0.003698354,0.00346754,0.003202105,0.002935457,0.002660619,0.002481758,0.002433622,0.00237531,0.002313754,0.002263688,0.002200209,0.002114905,0.002024859,0.001935188,0.001829085,0.001734825,0.001654995,0.001596715,0.001526925,0.001476723,0.001386791,0.001324408,0.001247168,0.001089942,0.000980428,0.000854091,0.000739486,0.00060285,0.000466692,0.000380943,0.000245756,0.000227731,0.000192773,0.000170187,0.000198533,0.000163887,0.000246393,0.000166896,0.00028906,0.000193864,0.000136158,0.000108904,0.000110275,9.72E-05,0.000160673,8.69E-05,3.94E-05,0.000133169,3.00E-05,4.40E-05,7.16E-05,3.81E-05,5.25E-05,0.000146497,9.27E-05,5.06E-05,3.34E-05,0.000102519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HOCRSt04p2,2022,3,30,2:26:26,0.004102744,0.004072636,0.004409659,0.004539208,0.004532946,0.004701686,0.004942619,0.004984626,0.005193478,0.005274654,0.005417207,0.005448356,0.005576594,0.005662475,0.00561023,0.005679798,0.005748211,0.00575066,0.005777425,0.005750314,0.005741529,0.005709277,0.005720312,0.0056644,0.005597491,0.005543413,0.005494765,0.00545798,0.005360255,0.005325117,0.005230274,0.005200557,0.005201611,0.005245096,0.005261468,0.005257908,0.005266858,0.005223757,0.005175133,0.005148656,0.005063316,0.004951743,0.004805796,0.004679309,0.004480569,0.00425295,0.003975304,0.003696057,0.003370853,0.003108093,0.002912675,0.002813539,0.002793005,0.002745639,0.002660937,0.002588753,0.002502732,0.002409825,0.002305457,0.002208399,0.002089877,0.002003712,0.001952102,0.001883002,0.001817376,0.001767903,0.001691078,0.001507429,0.001444208,0.001291789,0.001167316,0.00103551,0.000909425,0.000722129,0.000664932,0.000605471,0.000422603,0.000392578,0.000402371,0.000283752,0.000435397,0.000379995,0.000265952,0.000264689,0.000336281,0.000208391,0.000166812,0.000161005,0.000194792,0.000193223,8.62E-05,0.000306348,0.000104567,6.89E-05,0.000110174,9.60E-05,0.000118546,0.000147398,0.000161786,0.000125537,0.000138739,0.00011605,0.000150145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HOCRSt04p3,2022,3,30,2:46:28,0.003720785,0.003831843,0.003940435,0.004067608,0.004239307,0.004408073,0.004570404,0.004688529,0.004886536,0.005071158,0.005190543,0.005291419,0.005426225,0.005545927,0.00557858,0.005579668,0.005735109,0.005751349,0.005754443,0.005793524,0.00583027,0.005843164,0.005887196,0.005863926,0.005797159,0.005777358,0.005733941,0.005726036,0.005643768,0.005616057,0.005575642,0.005555772,0.005555082,0.005621067,0.005664316,0.005706434,0.005720504,0.005703851,0.005673065,0.005673885,0.005576364,0.005479328,0.00534216,0.005220246,0.005011283,0.004789539,0.004516138,0.004214715,0.00390541,0.003617207,0.00341019,0.0033058,0.003318155,0.00324742,0.003177875,0.003102701,0.003013169,0.002914065,0.00280278,0.002672577,0.002565331,0.002463997,0.002409551,0.002337011,0.002263649,0.002211164,0.002109,0.001941237,0.001853505,0.001680861,0.001508717,0.001362693,0.001165922,0.000953095,0.000820087,0.000630701,0.000453501,0.000432632,0.000400555,0.000370112,0.000570964,0.000457379,0.000342463,0.000313954,0.00030728,0.000288324,0.000272473,0.000228709,0.000277887,0.000238248,0.000251217,0.000209743,0.000144546,0.000161251,0.000198104,9.21E-05,0.000172531,0.000245171,0.000183381,0.000150455,0.000223797,0.000175141,0.000155767,7.57E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HOCRSt05p1,2022,3,29,21:09:31,0.007156041,0.007449404,0.008472724,0.008275992,0.008143332,0.008590621,0.008787707,0.008736037,0.009050536,0.009359123,0.009077483,0.009137962,0.009426452,0.009431997,0.009371985,0.00940996,0.009317248,0.009250689,0.009049674,0.008987338,0.008803723,0.008663196,0.008598854,0.008317161,0.008151485,0.007915646,0.007699293,0.007445221,0.007216639,0.007042667,0.006789459,0.006663001,0.006660546,0.006643176,0.006645355,0.00661941,0.006551903,0.006434983,0.006286027,0.006192314,0.005980592,0.005790877,0.005541512,0.005312287,0.004940948,0.004583949,0.004212832,0.003829309,0.003427218,0.003063506,0.002763559,0.002664464,0.002560197,0.002510233,0.002365756,0.002324186,0.002207037,0.002109054,0.001987023,0.001851052,0.001749671,0.001678587,0.001608764,0.001536887,0.001443035,0.001419909,0.001295629,0.001095271,0.001037811,0.00086653,0.000788159,0.000533339,0.000384762,0.00033259,0.000273678,0.000436117,0.000388723,0.000127205,0.000169256,0.000208183,0.000118687,0.000217911,0.000640567,0.000141182,NaN,0.000573983,NaN,7.85E-05,NaN,NaN,8.00E-05,7.98E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000154781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HOCRSt05p2,2022,3,29,21:31:28,0.009012446,0.009162995,0.009585946,0.009419518,0.009349137,0.010004635,0.009990412,0.010239792,0.010017969,0.01021561,0.010364146,0.010427547,0.010548501,0.010410266,0.010289125,0.010202011,0.01006117,0.009986775,0.009792033,0.00961015,0.009400513,0.00921166,0.008971253,0.008696524,0.008454639,0.008192624,0.007915065,0.007634324,0.007337059,0.007083719,0.006846868,0.006668165,0.006607109,0.006593266,0.006568465,0.006500331,0.006423378,0.006298294,0.00615018,0.006026769,0.005855789,0.005614065,0.005340785,0.005091964,0.004759985,0.004380794,0.00400587,0.003568337,0.003173468,0.002838544,0.002569662,0.00248491,0.002412495,0.002354258,0.002227294,0.00219247,0.002042877,0.001955322,0.001828738,0.001732355,0.001647318,0.001540118,0.001449719,0.001395492,0.001311112,0.001185373,0.001134716,0.001027389,0.000896508,0.000784294,0.000663479,0.00057272,0.000434178,0.000434748,0.000245405,0.000229768,0.000332504,0.000228461,8.36E-05,8.78E-05,5.43E-05,3.61E-05,NaN,3.04E-05,7.27E-05,0.000223148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HOCRSt06p1,2022,3,28,21:28:01,0.008998825,0.009333255,0.009603147,0.009715837,0.009835381,0.01007147,0.010332265,0.01036362,0.010528916,0.010613381,0.010679036,0.010595545,0.010716531,0.010677324,0.010436819,0.010284409,0.01022898,0.010047251,0.009827786,0.009683811,0.009541013,0.009323619,0.009160666,0.008907863,0.00865593,0.008396458,0.008141063,0.007874203,0.007554165,0.007286729,0.006975278,0.006779934,0.006678171,0.006653284,0.006646703,0.006593137,0.006479485,0.00632642,0.006183805,0.00604049,0.005826116,0.005601815,0.005336509,0.005072664,0.004719696,0.004346396,0.003949795,0.003545509,0.003119801,0.002769337,0.002553687,0.002428133,0.002364812,0.002287122,0.002210667,0.002111657,0.002009959,0.00191359,0.001803756,0.001693607,0.001610628,0.001506386,0.001438096,0.001382819,0.001325745,0.001251392,0.001161089,0.001084019,0.000981357,0.000885714,0.000800852,0.000708433,0.000585468,0.000499015,0.000401358,0.000357686,0.000320899,0.000288773,0.000247927,0.000248402,0.0002081,0.000192956,0.00019213,8.46E-05,0.000136025,9.22E-05,0.000162562,NaN,NaN,NaN,NaN,NaN,7.51E-05,NaN,NaN,0.000259812,0.000118687,0.000187585,0.000230901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HOCRSt06p2,2022,3,28,21:42:28,0.010698409,0.010943003,0.011172626,0.011138272,0.011285388,0.011421751,0.011637063,0.011705149,0.011669768,0.01191652,0.011755044,0.011554207,0.011726812,0.011734916,0.011343988,0.011215896,0.011045995,0.010879438,0.01067749,0.010435666,0.010248382,0.0099944,0.009810729,0.009457943,0.009185895,0.008859394,0.008612307,0.008304196,0.00794426,0.007588579,0.007252654,0.007036471,0.00690712,0.006860858,0.006815115,0.006778538,0.00667142,0.006500222,0.006311932,0.00613008,0.005938206,0.005684659,0.005388812,0.005116307,0.004733762,0.004307307,0.003925225,0.003474665,0.003012152,0.002697681,0.002424791,0.00228799,0.002245931,0.002133108,0.002038202,0.001960166,0.001879147,0.00175871,0.001651589,0.001540636,0.001432846,0.001361202,0.001252838,0.00125696,0.001145055,0.001080766,0.000977331,0.000924939,0.000806014,0.000750033,0.000676249,0.00047964,0.000471481,0.000356756,0.000249122,0.000166191,0.000139728,0.000105902,9.29E-05,0.00010684,8.02E-05,6.07E-05,8.22E-05,NaN,4.90E-05,3.46E-05,5.04E-05,2.25E-05,0.000111216,NaN,NaN,NaN,NaN,4.85E-05,9.01E-06,NaN,NaN,NaN,8.08E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HOCRSt8bp1,2022,3,29,3:32:30,0.00482021,0.004927504,0.005084997,0.005256719,0.005424456,0.005609614,0.005862108,0.006002329,0.006190004,0.006389908,0.006495382,0.006503526,0.006740163,0.00685764,0.006650798,0.00671184,0.006740415,0.006695554,0.006655522,0.006651914,0.006589808,0.006540619,0.006530205,0.006414656,0.006296044,0.006193364,0.006084001,0.005955759,0.005810679,0.005677491,0.005541682,0.005444603,0.005414713,0.00545185,0.005462881,0.005458651,0.005413341,0.005341102,0.005273125,0.005203081,0.00507028,0.004926026,0.004737724,0.004549809,0.004295393,0.004013125,0.003707251,0.00339465,0.003057046,0.002755033,0.002559458,0.002473583,0.002418207,0.002355024,0.002272479,0.002183193,0.002105543,0.002014133,0.001901186,0.001821293,0.001709702,0.001633711,0.001558273,0.001489478,0.001461932,0.001367234,0.0012914,0.001189338,0.001078965,0.000966083,0.000873981,0.000745955,0.000693152,0.000551082,0.000528734,0.000370956,0.000328528,0.000341244,0.000248349,0.000264625,0.000163903,0.000178374,0.000141985,0.00018084,1.00E-04,0.000204368,0.000187834,0.000114363,0.000103714,0.000113708,0.000168253,0.00012229,0.000193247,5.83E-05,8.09E-05,0.000128841,6.44E-05,0.000112029,0.000110884,0.000163248,0.00013928,0.000208795,6.71E-05,7.45E-05,5.08E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HOCRSt8bp2,2022,3,29,3:45:56,0.005414969,0.005651508,0.005770065,0.00585225,0.006049595,0.006207017,0.006370493,0.006591885,0.006808029,0.006934252,0.007150972,0.007208752,0.007278446,0.007375345,0.007275569,0.00728046,0.007355042,0.007319506,0.007214003,0.007188823,0.007125135,0.007055783,0.007004856,0.006860232,0.006739219,0.006588942,0.006443086,0.006327955,0.006157774,0.006004165,0.005850789,0.005762928,0.005695478,0.00573677,0.005734564,0.005713264,0.005684843,0.005595814,0.005493699,0.005427561,0.005293539,0.005128,0.004951116,0.004740378,0.004476756,0.004160519,0.003863889,0.00351455,0.003159194,0.002842422,0.002650791,0.002562107,0.002507563,0.002433894,0.002370683,0.002284623,0.002183448,0.002118939,0.001993921,0.001892291,0.001787502,0.001677939,0.001647354,0.001559831,0.001470143,0.001416573,0.00132754,0.001245531,0.001143342,0.001041467,0.000935852,0.000858257,0.000702277,0.000609596,0.00053572,0.000392255,0.000339752,0.000277191,0.000278546,0.00030058,0.000260329,0.000230327,0.000335711,0.000353812,0.000342202,0.00029732,0.000316049,0.000263262,0.000211706,0.000200813,0.000171257,0.000112949,0.000197309,0.000195603,0.000112044,0.000134698,0.000182179,0.000111849,0.000159556,0.00019858,0.000192373,0.000208692,0.000141897,0.00015371,0.00018593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HOCRSt08p1,2022,3,29,0:51:20,0.006839673,0.007136651,0.007553544,0.007550617,0.007624261,0.007895827,0.008015882,0.008204212,0.008223375,0.008320162,0.008480916,0.008463712,0.008493172,0.008523721,0.008337381,0.00828778,0.008233999,0.008111986,0.007932048,0.007791327,0.007681283,0.007502658,0.007357168,0.00714154,0.006899089,0.006690466,0.006474021,0.006252322,0.006014161,0.005781579,0.005587577,0.005424281,0.005332552,0.005348318,0.005335649,0.005277085,0.005198206,0.00508247,0.004948301,0.004843064,0.00468423,0.004506583,0.00430108,0.004092443,0.003806888,0.003501574,0.003207717,0.002881868,0.002551253,0.002272877,0.002092275,0.002000955,0.001946678,0.00188351,0.001810251,0.001742202,0.001670323,0.001578074,0.001493593,0.001404423,0.001308723,0.001221874,0.0011966,0.001114587,0.001073604,0.00101372,0.000953052,0.000892723,0.00078141,0.000706921,0.000604803,0.000516094,0.000408912,0.000323219,0.000275338,0.000199533,0.000145452,9.75E-05,8.56E-05,0.000123328,8.29E-05,9.50E-05,0.000128444,7.41E-05,7.76E-05,9.12E-05,8.05E-05,0.000109608,5.53E-05,5.12E-05,0.000218881,3.91E-05,NaN,5.02E-05,2.01E-05,NaN,5.73E-05,3.71E-05,5.14E-05,8.98E-05,5.50E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
