Date (GMT),"Time (GMT, h)",Hypernav_site,lat,lon,insitu_Rrs380,insitu_Rrs412,insitu_Rrs443,insitu_Rrs490,insitu_Rrs530,insitu_Rrs565,insitu_Rrs670,sgli_Rrs380_mean,sgli_Rrs412_mean,sgli_Rrs443_mean,sgli_Rrs490_mean,sgli_Rrs530_mean,sgli_Rrs565_mean,sgli_Rrs670_mean,sgli_Rrs380_std,sgli_Rrs412_std,sgli_Rrs443_std,sgli_Rrs490_std,sgli_Rrs530_std,sgli_Rrs565_std,sgli_Rrs670_std,,,,,,,,,,,,,,
6/11/21,22.14944444,HI002,19.53989983,-156.2684937,0.011179991,0.010114789,0.007863045,0.004958422,0.001556092,0.000720674,3.41343E-05,0.01117236,0.00982428,0.00826932,0.00535784,0.00183208,0.00067692,0.00007696,0.000270508,0.000256744,0.000153122,7.65374E-05,8.34127E-05,4.57943E-05,2.97294E-06,,,,,,,,,,,,,,
11/20/21,22.45111111,HI004,19.93129921,-156.5500946,0.011291395,0.010290562,0.008647316,0.005752741,0.002158774,0.001170831,0.000119293,0.01250144,0.01057364,0.0085908,0.00544596,0.002385,0.00106096,7.944E-05,0.000464902,0.000322888,0.000529611,0.000146128,0.000642466,0.000114896,2.92684E-06,,,,,,,,,,,,,,
6/8/22,8.531944444,CR001,36.08200073,25.28829956,0.00825491,0.00848704,0.008274188,0.005908148,0.002439711,0.001385059,0.0001276,0.00354568,0.00630072,0.00633096,0.00621564,0.00146708,0.00108692,7E-05,0.000104835,7.85822E-05,7.38114E-05,6.86795E-05,4.33516E-06,3.01568E-05,1.35525E-20,,,,,,,,,,,,,,
6/12/22,8.15,CR001,35.86560059,25.1243,0.009094033,0.009263644,0.008842017,0.006013496,0.002312123,0.001279625,0.000115414,0.00712188,0.00848908,0.00777296,0.00734704,0.00128168,0.00135592,7E-05,0.000421605,0.000274603,0.000171404,0.000154385,2.27169E-05,6.96224E-05,1.35525E-20,,,,,,,,,,,,,,
6/16/22,8.220277778,CR001,35.84469986,25.13240051,0.009195852,0.009386977,0.008952976,0.006090976,0.002329933,0.001283394,0.000112711,0.0060932,0.00699288,0.00673432,0.00685124,0.00132544,0.00128628,7E-05,0.000210378,0.000126707,7.53577E-05,7.70674E-05,1.15242E-05,4.05882E-05,1.35525E-20,,,,,,,,,,,,,,
6/17/22,8.151111111,CR001,35.97499847,25.16390038,0.008662923,0.008810871,0.008497625,0.005866489,0.002295083,0.001274909,0.000116867,0.011217,0.01100744,0.01084104,0.00724544,0.00312968,0.0016372,0.0000758,0.000179466,0.000174755,0.00015949,6.17188E-05,2.50547E-05,1.81284E-05,4E-07,,,,,,,,,,,,,,
6/19/22,8.229444444,CR001,35.84109879,25.30990028,0.007937555,0.00814571,0.008018041,0.005679854,0.002300222,0.001289177,0.000115047,0.00610272,0.006752,0.00659976,0.00520032,0.00139184,0.00035952,6.776E-05,0.000183419,0.000131971,0.000112777,4.79589E-05,4.92493E-05,3.38339E-05,4.27083E-07,,,,,,,,,,,,,,
6/20/22,8.211666667,CR001,35.83470154,25.1935997,0.007978532,0.008212781,0.008042311,0.005646594,0.002237986,0.001239495,0.000105858,0.00311796,0.00529984,0.00616316,0.00548612,0.00189348,0.00083652,7E-05,8.98494E-05,0.00011379,7.99418E-05,3.94921E-05,3.29231E-05,3.12564E-06,1.35525E-20,,,,,,,,,,,,,,
6/21/22,8.150555556,CR001,35.96229935,25.15999985,0.008525549,0.008860884,0.008592058,0.005917241,0.002311388,0.001288129,0.00011925,0.01346072,0.01275212,0.01216628,0.00797208,0.00358824,0.00212324,0.000076,0.000127986,0.000129936,0.000125683,6.23089E-05,2.71886E-05,2.03062E-05,5.42101E-20,,,,,,,,,,,,,,
6/23/22,8.1525,CR001,35.91640091,25.3614006,0.008433847,0.008626487,0.008422165,0.005854565,0.002323767,0.001295486,0.000115398,-0.00069332,0.00489096,0.00687288,0.00714124,0.00289352,0.00288996,0.00013752,2.11693E-05,4.03787E-05,5.24506E-05,4.9416E-05,4.40028E-05,4.13468E-05,1.81373E-06,,,,,,,,,,,,,,
6/24/22,8.191388889,CR001,35.85839844,25.24690056,0.008070618,0.008292933,0.00807078,0.005590023,0.002198191,0.001223154,0.000108379,0.00186012,0.00474512,0.00648488,0.00489048,0.00169004,0.00080576,0.0001224,0.000117923,6.70011E-05,4.66136E-05,3.93549E-05,3.03717E-05,2.19641E-05,1.54919E-06,,,,,,,,,,,,,,
6/27/22,8.237222222,CR001,35.88629913,25.37059975,0.008589975,0.008735844,0.008415407,0.005800461,0.002290135,0.001276683,0.000117064,0.0036102,0.00640456,0.0066342,0.00595908,0.00161992,0.000859,7E-05,0.000196347,0.000140581,0.00012063,3.28426E-05,5.74379E-05,5.55698E-06,1.35525E-20,,,,,,,,,,,,,,
6/28/22,8.144444444,CR001,35.85789871,25.21800041,0.009082833,0.009347377,0.008896334,0.005959967,0.002263042,0.001252393,0.000114278,0.01066804,0.01088296,0.0104276,0.00710104,0.00271536,0.00133528,0.000074,0.000189842,0.000172383,0.000131833,5.33108E-05,2.51171E-05,1.37565E-05,2.71051E-20,,,,,,,,,,,,,,
7/2/22,8.160277778,CR001,36.07379913,25.23539925,0.008556013,0.00892391,0.008569509,0.005806676,0.002230928,0.001232774,0.000110959,0.00337172,0.00591132,0.00653028,0.00565932,0.00167704,0.00085444,7E-05,0.000163429,9.94057E-05,9.1749E-05,2.65386E-05,3.55398E-05,3.43022E-06,1.35525E-20,,,,,,,,,,,,,,
7/5/22,8.150833333,CR001,35.79119873,25.20779991,0.008243075,0.008494145,0.008222791,0.005672793,0.002238101,0.001244459,0.000116604,0.00484496,0.00674924,0.00697036,0.00572188,0.00174644,0.0008506,7E-05,0.000286029,0.000175601,9.67185E-05,4.83722E-05,4.0404E-05,2.5923E-06,1.35525E-20,,,,,,,,,,,,,,
7/8/22,8.156666667,CR001,35.89490128,25.09149933,0.000339086,0.000346318,0.000321833,0.000215418,7.94933E-05,4.2841E-05,4.21559E-06,0.00725984,0.00813568,0.00842668,0.00606808,0.00215184,0.00082548,7.224E-05,0.000190417,0.00015753,0.000113374,5.90477E-05,7.94056E-05,5.20024E-05,8.1388E-07,,,,,,,,,,,,,,
7/12/22,8.156111111,CR001,35.99160004,25.25670052,0.008243532,0.008560302,0.008316524,0.005696646,0.002236631,0.001250418,0.000115558,0.00473452,0.00684964,0.00687288,0.00597,0.00168272,0.00084912,7E-05,0.000169725,0.000190234,0.000147761,6.94919E-05,2.69377E-05,2.65812E-06,1.35525E-20,,,,,,,,,,,,,,
7/16/22,8.153055556,CR001,36.13999939,24.86849976,0.008815101,0.009392574,0.009099064,0.006099565,0.002339606,0.001309612,0.000124813,0.00330228,0.00623164,0.0067042,0.00615272,0.00147868,0.00098844,7E-05,0.000133476,0.000108781,8.19195E-05,0.000131217,1.72133E-05,8.43465E-05,1.35525E-20,,,,,,,,,,,,,,
7/17/22,8.176666667,CR001,36.1855011,24.89769936,0.008810591,0.009459508,0.009250754,0.006195128,0.002350727,0.001310584,0.000123633,0.00968076,0.01052004,0.01017436,0.00687376,0.00275948,0.00141664,7.5E-05,0.000241147,0.000261839,0.000209645,0.000100462,3.66684E-05,1.73248E-05,0,,,,,,,,,,,,,,
7/21/22,8.198888889,CR001,35.89730072,25.04470062,0.006889623,0.007144499,0.007193828,0.005160417,0.002127155,0.001191915,0.000103246,0.00964912,0.00940248,0.0095798,0.00651192,0.00304948,0.00152596,0.0000816,0.000179381,0.000170442,0.00013254,7.00365E-05,2.15502E-05,1.35129E-05,3.39411E-06,,,,,,,,,,,,,,
7/23/22,8.153611111,CR001,36.13079834,24.73310089,0.007200419,0.00773836,0.007820582,0.005486696,0.00217736,0.001224633,0.000115138,0.00411416,0.00555128,0.0057354,0.00473876,0.00122996,0.00038348,6.84E-05,0.001223086,0.001062367,0.000934847,0.000744442,0.000518485,0.000411022,1.44222E-06,,,,,,,,,,,,,,
