Date(GMT),"Time (GMT,h)",Hypernav_site,lat,lon,insitu_Rrs380,insitu_Rrs412,insitu_Rrs443,insitu_Rrs490,insitu_Rrs530,insitu_Rrs565,insitu_Rrs670,sgli_Rrs380_mean,sgli_Rrs412_mean,sgli_Rrs443_mean,sgli_Rrs490_mean,sgli_Rrs530_mean,sgli_Rrs565_mean,sgli_Rrs670_mean,sgli_Rrs380_std,sgli_Rrs412_std,sgli_Rrs443_std,sgli_Rrs490_std,sgli_Rrs530_std,sgli_Rrs565_std,sgli_Rrs670_std
5/22/24,22.86666667,HI,19.49419975,-156.2709961,0.019378263,0.018208507,0.01209215,0.007688235,0.002830562,0.001512102,0.000167321,0.011252458,0.010713031,0.009881297,0.006594822,0.002864945,0.000739177,6.99E-05,0.000341992,0.000211785,0.00017041,6.22E-05,6.68E-05,6.57E-06,0
5/15/24,22.92222222,HI,19.35519981,-157.1013947,0.017165102,0.015899814,0.010444928,0.006694004,0.002473863,0.00134392,0.00014508,0.012090168,0.010704562,0.009345165,0.006214571,0.00231858,0.000798827,6.99E-05,0.000266054,0.000167456,0.000153617,0.000160523,9.73E-05,1.09E-05,0
6/21/24,22.98611111,HI,19.8628006,-157.384201,0.011692823,0.012326187,0.009522509,0.006699212,0.002617751,0.001413379,0.000152653,0.008496502,0.008099626,0.007967735,0.00580992,0.002496164,0.000780131,6.99E-05,0.000136865,0.000128307,0.000109255,4.63E-05,4.53E-05,4.47E-06,0
5/8/24,22.83333333,HI,19.64640045,-156.803299,0.009551523,0.008986925,0.006501704,0.005110966,0.002652255,0.001664185,0.000161596,0.015459048,0.012177182,0.010164785,0.006530131,0.002846576,0.001486867,8.18E-05,0.001493156,0.001279591,0.000980585,0.000408181,4.21E-05,2.02E-05,8.58E-06
6/3/24,23.2,HI,20.11219978,-156.0444031,0.019247038,0.017566659,0.011575798,0.007312506,0.002834011,0.001597395,0.000154937,0.012818232,0.010595197,0.00896359,0.005699395,0.002069547,0.000478707,7.04E-05,0.000739896,0.000584359,0.000506404,0.000435663,0.000379507,0.000316579,4.08E-07
3/23/24,23.28333333,HI,19.88170052,-156.7837982,0.016323288,0.016839774,0.012123548,0.007940109,0.002993567,0.001626302,0.00015693,0.009815193,0.009036925,0.007546152,0.005363948,0.001437254,0.000481433,6.99E-05,0.000953419,0.000816467,0.000768126,0.00055795,0.000499873,0.000405573,0
3/12/24,23.22777778,HI,19.80719948,-156.7655029,0.011250428,0.010820476,0.007732557,0.005500849,0.002246178,0.001220631,0.000117406,0.020153394,0.014366735,0.011159138,0.00751367,0.003609829,0.001711948,7.40E-05,0.00053029,0.000440917,0.000325544,0.000166015,9.28E-05,7.38E-05,0
9/17/24,20.3,SD,33.7580986,-119.5084991,0.004635696,0.004810648,0.004138678,0.004196314,0.002772057,0.001708824,0.000185438,0.005386837,0.003776268,0.003506234,0.003971167,0.002262339,0.001370042,0.00016159,0.000231461,0.000198234,0.000146296,9.07E-05,0.000105364,8.82E-05,1.06E-05
9/7/24,20.35833333,SD,33.66949844,-119.4317017,0.006522897,0.008394812,0.004984996,0.004603431,0.002890314,0.001765963,5.08E-05,0.007518334,0.005420923,0.005668068,0.00513539,0.003261604,0.00195962,0.000196497,0.000180004,0.000150465,0.00013281,0.000135709,0.000129777,9.57E-05,3.93E-06
9/11/24,20.31388889,SD,33.69279861,-119.5999985,0.00454873,0.00485641,0.004170534,0.003933158,0.002559647,0.001584454,0.000150338,0.014045268,0.009003429,0.007488759,0.005602746,0.003799217,0.002137987,0.000170508,0.001249381,0.000635701,0.000505813,0.00033034,0.000180186,0.00023732,1.83E-05
9/10/24,20.44444444,SD,33.65090179,-119.6084976,0.00514334,0.005564817,0.004828037,0.004899147,0.003660811,0.002490504,0.000290396,0.001444315,0.001241273,0.001308447,0.002603845,0.001258455,0.000756733,0.000220523,0.000106826,0.000113936,9.32E-05,8.11E-05,0.000151992,0.000145392,1.50E-05
9/6/24,20.375,SD,33.67169952,-119.4091034,0.005570893,0.00643619,0.005809141,0.005680537,0.003198877,0.001752518,0.000177759,0.00148909,0.001763569,0.001778837,0.002910583,0.000985542,0.000707905,0.000180392,0.000334406,0.000196517,0.000205044,8.28E-05,0.000121587,8.48E-05,7.96E-06
9/23/23,21.97777778,HI,19.73629951,-156.2778015,0.013598802,0.013429916,0.009813695,0.006512484,0.002475746,0.001372628,0.000136867,0.012850233,0.011428767,0.008493964,0.005643035,0.002318364,0.000989269,6.74E-05,0.0006063,0.000407044,0.000258457,0.000163039,0.000302444,6.68E-05,0
5/1/22,22.08333333,HI,18.9340992,-156.9118958,0.014090208,0.013343142,0.009478312,0.00603825,0.002167908,0.001162796,0.000118444,0.011743648,0.010855279,0.008856179,0.006164893,0.001896853,0.000832381,6.99E-05,0.000261147,0.000270818,0.000157544,0.000100403,6.49E-05,6.70E-06,0
4/24/22,21.98333333,HI,19.8416996,-156.7312927,0.012580154,0.011973451,0.008772499,0.005938693,0.00226502,0.001232664,0.000131508,0.009707331,0.009480781,0.007815653,0.006691574,0.002109743,0.000850159,6.99E-05,0.00072002,0.001194295,0.000493635,0.001913558,0.000281913,0.00024898,0
5/9/22,21.32222222,HI,19.17499924,-156.8177032,0.012886414,0.012095404,0.008635207,0.005778997,0.002161549,0.00117456,0.000120943,0.011021261,0.010393871,0.009033705,0.006272349,0.002542194,0.000748887,6.99E-05,8.53E-05,9.57E-05,9.81E-05,9.25E-05,6.71E-05,6.92E-06,0
4/21/22,23.75,HI,19.77569962,-156.446106,0.010287418,0.00993942,0.007815373,0.005534632,0.002191364,0.001195952,0.000112647,0.014468702,0.012450872,0.010722963,0.007013866,0.003095447,0.001611566,7.52E-05,0.000276195,0.000317145,0.000231215,9.89E-05,5.37E-05,1.56E-05,3.99E-07
6/3/24,9.8,CR,36.16289902,25.99200058,0.009850954,0.012165418,0.010557927,0.007473638,0.003143557,0.001823466,0.000162978,0.003183693,0.005196468,0.00588584,0.006252075,0.001471587,0.001361974,7.02E-05,0.000126733,0.000142822,0.00012138,0.000189907,7.23E-06,0.000179339,8.44E-07
6/26/24,10.37777778,CR,35.44589996,25.58659935,0.008440079,0.010749441,0.009264592,0.006383842,0.002421783,0.001328623,0.000135564,0.006085006,0.007415341,0.008371909,0.005817813,0.001825323,0.000678914,7.26E-05,0.00019507,0.000185335,0.000152502,4.78E-05,4.61E-05,2.18E-05,1.19E-06
6/4/24,9.816666667,CR,36.16759872,26.02169991,0.009349703,0.012543272,0.011642254,0.008955092,0.003802142,0.002190479,0.000210838,0.003533281,0.005766832,0.008601638,0.006096075,0.002523501,0.001582492,0.00012888,0.000110332,8.55E-05,6.99E-05,4.33E-05,3.12E-05,2.43E-05,1.74E-06
6/23/24,10.07222222,CR,35.49610138,25.62630081,0.010836984,0.013423263,0.01152757,0.007871765,0.003106587,0.001746981,0.000165818,0.0125516,0.01191634,0.012015001,0.007800495,0.003038747,0.001867612,7.65E-05,0.000110097,0.000100008,8.36E-05,4.02E-05,2.59E-05,1.58E-05,0
5/27/24,9.866666667,CR,36.15299988,25.8288002,0.00915552,0.011960406,0.010887253,0.008129429,0.003399254,0.001902966,0.000205864,0.01196459,0.010937106,0.011089788,0.007890799,0.003356176,0.001805736,7.40E-05,0.000102259,9.92E-05,9.47E-05,4.28E-05,2.90E-05,1.93E-05,0
6/10/24,10.1,CR,36.19599915,26.36569977,0.008380562,0.010310046,0.009019978,0.006544074,0.00273416,0.001559624,0.000173566,0.004354693,0.006084619,0.006527619,0.006132548,0.001486093,0.000869162,6.99E-05,0.000190708,9.17E-05,9.07E-05,3.28E-05,2.46E-05,8.15E-06,0
